2024-04-10 23:02:58,202 INFO    StreamThr :373587 [internal.py:wandb_internal():86] W&B internal server running at pid: 373587, started at: 2024-04-10 23:02:58.202206
2024-04-10 23:02:58,205 DEBUG   HandlerThread:373587 [handler.py:handle_request():146] handle_request: status
2024-04-10 23:02:58,211 INFO    WriterThread:373587 [datastore.py:open_for_write():87] open: /home/tefan/projects/BachModels/src/wandb/run-20240410_230258-wuyqbo5d/run-wuyqbo5d.wandb
2024-04-10 23:02:58,211 DEBUG   SenderThread:373587 [sender.py:send():379] send: header
2024-04-10 23:02:58,217 DEBUG   SenderThread:373587 [sender.py:send():379] send: run
2024-04-10 23:03:02,294 INFO    SenderThread:373587 [dir_watcher.py:__init__():211] watching files in: /home/tefan/projects/BachModels/src/wandb/run-20240410_230258-wuyqbo5d/files
2024-04-10 23:03:02,294 INFO    SenderThread:373587 [sender.py:_start_run_threads():1124] run started: wuyqbo5d with start time 1712779378.202687
2024-04-10 23:03:02,301 DEBUG   HandlerThread:373587 [handler.py:handle_request():146] handle_request: check_version
2024-04-10 23:03:02,301 DEBUG   SenderThread:373587 [sender.py:send_request():406] send_request: check_version
2024-04-10 23:03:02,485 DEBUG   HandlerThread:373587 [handler.py:handle_request():146] handle_request: run_start
2024-04-10 23:03:02,500 DEBUG   HandlerThread:373587 [system_info.py:__init__():26] System info init
2024-04-10 23:03:02,501 DEBUG   HandlerThread:373587 [system_info.py:__init__():41] System info init done
2024-04-10 23:03:02,501 INFO    HandlerThread:373587 [system_monitor.py:start():194] Starting system monitor
2024-04-10 23:03:02,501 INFO    SystemMonitor:373587 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-10 23:03:02,501 INFO    HandlerThread:373587 [system_monitor.py:probe():214] Collecting system info
2024-04-10 23:03:02,502 INFO    SystemMonitor:373587 [interfaces.py:start():190] Started cpu monitoring
2024-04-10 23:03:02,503 INFO    SystemMonitor:373587 [interfaces.py:start():190] Started disk monitoring
2024-04-10 23:03:02,503 INFO    SystemMonitor:373587 [interfaces.py:start():190] Started gpu monitoring
2024-04-10 23:03:02,504 INFO    SystemMonitor:373587 [interfaces.py:start():190] Started memory monitoring
2024-04-10 23:03:02,505 INFO    SystemMonitor:373587 [interfaces.py:start():190] Started network monitoring
2024-04-10 23:03:02,510 DEBUG   HandlerThread:373587 [system_info.py:probe():150] Probing system
2024-04-10 23:03:02,512 DEBUG   HandlerThread:373587 [system_info.py:_probe_git():135] Probing git
2024-04-10 23:03:02,517 DEBUG   HandlerThread:373587 [system_info.py:_probe_git():143] Probing git done
2024-04-10 23:03:02,517 DEBUG   HandlerThread:373587 [system_info.py:probe():198] Probing system done
